Unnamed: 0,created_at,id,text,user_location
385,Wed Dec 08 04:26:11 +0000 2021,1468436724007194629,"RT @WelshGovernment: We've disrupted the transmission of COVID-19, and so can you. We need to keep doing the right things, to protect our f…","Connah's Quay, North Wales"
616,Wed Dec 08 04:26:29 +0000 2021,1468436797877526533,RT @koreatimescokr: South Korea's top economic policymaker said Wednesday the 2022 economic policy will be focused on supporting pandemic-h…,"Taipei City, Taiwan"
737,Wed Dec 08 04:26:43 +0000 2021,1468436858140958721,RT @htTweets: India surpassed Brazil in food exports to the League of Arab States for the first time in 15 years as the #Covid19 pandemic d…,China occupied ( Islamabad )
1631,Wed Dec 08 04:27:59 +0000 2021,1468437175079686146,RT @DrSalinasLab: Check our latest work on #nasalvaccines in fish. We asked a very simple question. How long does protection last? And is i…,"Taichung City, Taiwan"
2059,Wed Dec 08 04:28:23 +0000 2021,1468437276694880256,RT @tomilo: Labour’s First Minister of Wales Mark Drakeford isolated from his own family to protect his vulnerable wife and mother in law i…,"Beijing, People's Republic of China"
2463,Wed Dec 08 04:29:00 +0000 2021,1468437430420193282,"RT @AmbQinGang: President Xi announced today that China will provide another 1 billion doses of #vaccines to #Africa, including 600 million…",China
2682,Wed Dec 08 04:29:19 +0000 2021,1468437510359433218,I like my girls like I like my Covid #TikTok https://t.co/mWLx3hGQk9,"Manitoba, Canada"
2816,Wed Dec 08 04:29:26 +0000 2021,1468437538390085635,"RT @dawn_com: “After more than 18 months of Covid-19, the world is even more polarised,” Lucas Chancel, co-director of the World Inequality…",People's Republic of China
3195,Wed Dec 08 04:30:02 +0000 2021,1468437690886541315,Not many city of #Winnipeg workers on unpaid leave because of #COVID-19. https://t.co/P006WR5IOi https://t.co/0kDj8HCFXu,"Manitoba, Canada"
3212,Wed Dec 08 04:30:02 +0000 2021,1468437690773393416,Not many city of #Winnipeg workers on unpaid leave because of #COVID-19. https://t.co/5QeXeNMZ4m https://t.co/RrDDKqaWVJ,"Winnipeg, Manitoba"
3222,Wed Dec 08 04:30:00 +0000 2021,1468437684670861315,"RT @PoliticsJOE_UK: Matt Hancock says his dyslexia had nothing to do with breaking social distancing rules

https://t.co/hdIflJRHiU","Tokyo-to, Japan"
3228,Wed Dec 08 04:30:02 +0000 2021,1468437689942695940,RT @SortedEagle: …crafting a new excise policy on liquor when the national capital was in the throes of a deadly pandemic. He also accused…,China occupied ( Islamabad )
3355,Wed Dec 08 04:30:03 +0000 2021,1468437695919656962,"RT @EricTopol: This is a new, more favorable computational biology prediction for Omicron using #AlphaFold2 and #AI tools:
""no drastic chan…","Tokyo-to, Japan"
3419,Wed Dec 08 04:30:09 +0000 2021,1468437721085530113,RT @NYC_stateofmind: Parents should be in the streets rallying about this. Not ok.,"LI, NY and Tachikawa, Japan"
3473,Wed Dec 08 04:30:13 +0000 2021,1468437738584162304,"RT @MartinKulldorff: As people stop fearing Covid, politicians start fearing people.","Brandon, Manitoba, Canada"
3553,Wed Dec 08 04:30:21 +0000 2021,1468437769144135680,Yes. He is right. https://t.co/G5V4iTXeFB,"Tokyo-to, Japan"
3714,Wed Dec 08 04:30:30 +0000 2021,1468437809253867521,"@yoldengolden Japan didn't even experience a strict lockdown like other countries
What he's talking about?
Every country is trying their best but without abandoning anyone along the way.
Many people is suffering about this issue, it's hard to wait when you don't know the exact reopening date",Tokyo & Valencia
