Unnamed: 0,created_at,id,text,user_location
11,Wed Dec 08 04:25:46 +0000 2021,1468436616263909377,"RT @AaronSiriSG: Litigation update:  

FDA doubles down, asking federal judge to grant it until at least 2096 to fully release Pfizer’s COV…","Iasi, Romania"
229,Wed Dec 08 04:25:57 +0000 2021,1468436661633630209,"RT @covidbaseau: The TGA has approved the Moderna vaccine for booster doses for those aged 18 and older, at least 6 months after a second d…",Canberra
236,Wed Dec 08 04:26:06 +0000 2021,1468436701043314692,"RT @SimoLove: Federal Health Minister Greg Hunt: ""We're well used to hotspots.. now in NSW its a much smaller circle in terms of close cont…","Wurundjeri Richmond, Melbourne"
250,Wed Dec 08 04:26:07 +0000 2021,1468436704755286020,@twityouse Are these the deniers that are wearing “if I get sick from Covid never take me to a doctor or hospital” bracelets?,"Victoria, Australia"
257,Wed Dec 08 04:26:07 +0000 2021,1468436706424545281,RT @drsimonegold: WOW: a preprint study for The Lancet shows protection from the Covid shots declines severely after only a few months—and…,Perth WA
271,Wed Dec 08 04:26:07 +0000 2021,1468436705543786499,"An adult offers a child something special in exchange for pizza, and tells the child not to inform his parents.

Would more people see this for what it is if the shots were being given in unmarked vans?

How is anyone okay with this? https://t.co/aWWVVpXThF","Portland, OR"
368,Wed Dec 08 04:26:10 +0000 2021,1468436717765988354,"RT @SenatorWong: What happened to Mr Morrison’s patriotism?

Members of his government are sledging Australia on right wing extremist shows…","Brisbane, Queensland"
415,Wed Dec 08 04:26:20 +0000 2021,1468436758480113666,@Dolphins4Life99 @FoxNews Looks like the ppl you mix with aren’t against getting the vaccine. Hope you’re the same.,"Victoria, Australia"
430,Wed Dec 08 04:26:17 +0000 2021,1468436748690620426,RT @LeggoBrandon: Have you ever wondered what the tetanus vaccine was for? - under the Southern https://t.co/QoY5GRLyxe,"McGowistan, Western Australia"
433,Wed Dec 08 04:26:19 +0000 2021,1468436755120594944,RT @DGBassani: It turns out that hospitalizations are a lagging indicator. Again. For the fifth time. Maybe next time we’ll remember.,"Wurundjeri Richmond, Melbourne"
473,Wed Dec 08 04:26:23 +0000 2021,1468436771008622595,"Oh, Grace, having a COVID-19 test might not be fun but the @ACT_CHS team do it with expertise and care. They appreciate your drawing &amp; kind words. We are glad that your new teddy helped you... we can thank our crafting community for helping us provide you with the gift. 🤗 🧸 🥰 https://t.co/StsL9H6Xzq",Canberra Hospital
490,Wed Dec 08 04:26:22 +0000 2021,1468436769553010690,@JuneJac67420130 @AndrewBrownAU there is no effective Covid Vaccine....best u can hope for is it may lessen a stay in hospital..I say if ppl never had it they wldn't be in hospital....,Brisbane
518,Wed Dec 08 04:26:23 +0000 2021,1468436772359221248,Don’t downplay the importance of casual conversation while working from home - Great insight from @ReadyTechAU @vibewire #onramp,"Sydney, Australia"
539,Wed Dec 08 04:26:26 +0000 2021,1468436783574618115,RT @TracyBethHoeg: &amp; I stand by what I said on June 10th about vax safety in children. @Twitter censored me for saying it &amp; that got my twe…,"Adelaide, South Australia"
554,Wed Dec 08 04:26:32 +0000 2021,1468436809797419011,RT @Mark_Butler_MP: Scott Morrison continues to lie to Australians and pretend “every effort” was made to secure vaccine supplies. Australi…,"Brisbane, Queensland"
589,Wed Dec 08 04:26:31 +0000 2021,1468436808056803328,RT @MikeCarlton01: I caught Adam Creighton and it was unpleasant but no big deal… https://t.co/xeWyBEaBtD,"Highgate Hill, Brisbane"
612,Wed Dec 08 04:26:32 +0000 2021,1468436809101234178,"RT @MartinKulldorff: As people stop fearing Covid, politicians start fearing people.","Hamilton, Ontario"
647,Wed Dec 08 04:26:39 +0000 2021,1468436839212019715,China’s #yuan advanced to the strongest level since May 2018 as the market appetite for emerging-market currencies grew amid easing fears over the new Covid variant,"Salem, Tamil Nadu, India"
672,Wed Dec 08 04:26:34 +0000 2021,1468436817804468228,RT @Steve_Dylan: If anyone on here knows of any bike gangs planning to jack a Shoppers truck to create a black market for rapid Covid tests…,"Kingston, Ontario"
680,Wed Dec 08 04:26:33 +0000 2021,1468436814377615362,"RT @WalkerBragman: The Economist updated its estimate today for the true COVID death toll worldwide.

Absolutely staggering... https://t.co…","Sydney, Australia"
705,Wed Dec 08 04:26:45 +0000 2021,1468436863216087040,NSW workers lose appeal against mandatory COVID-19 vaccines - ABC News. ⁦@abcsydney⁩ ⁦@abcnews⁩  https://t.co/UXgKvROGRr,Sydney
724,Wed Dec 08 04:26:44 +0000 2021,1468436859445338113,RT @ratanjeevikas: I began watching the anticipated #ashes today. Spectators sitting huddled close together in #Cricket matches across the…,"Newcastle, New South Wales"
727,Wed Dec 08 04:26:43 +0000 2021,1468436856073113605,RT @AndrewBrownAU: COVID inquiry chair Katy Gallagher is just done with anti-vaxxer questions from Gerard Rennick https://t.co/fUP8gtU3a3,"Melbourne, Australia "
739,Wed Dec 08 04:26:39 +0000 2021,1468436840537415685,RT @AndrewBrownAU: COVID inquiry chair Katy Gallagher is just done with anti-vaxxer questions from Gerard Rennick https://t.co/fUP8gtU3a3,Melbourne. My hometown.
829,Wed Dec 08 04:26:50 +0000 2021,1468436884481138690,"RT @sidherian: @slsandpet @katelance6 This one. 

https://t.co/Lgwv1jxFA2",Benalla Victoria
871,Wed Dec 08 04:26:55 +0000 2021,1468436908187475969,"RT @Kyr0Nagib: I performed this test on a child with autism in front of the pharmacy today. His mother wanted him tested because ""he had a…","Treaty 3 - Hamilton, Ontario"
874,Wed Dec 08 04:26:57 +0000 2021,1468436913858101251,"@RepBonamici @KATUNews Ease inflation? Through massive spending? Just admit you do whatever the DNC tells you, like all the democrat representatives in Oregon. Our state deserves better. You won’t even stand up against unconstitutional vaccine mandates. Shameful.",Portland native. Future TBD
894,Wed Dec 08 04:26:53 +0000 2021,1468436898813120513,RT @DeAngelisCorey: what about the parents who lost their jobs because teachers unions fought to keep schools closed for over a year,"Scottsdale, AZ"
932,Wed Dec 08 04:26:59 +0000 2021,1468436923710586880,RT @FerrierSteph: Genomic testing has confirmed the hotel quarantine case does have the Omicron variant. This is Victoria's first Omicron c…,"Sydney, Australia"
936,Wed Dec 08 04:27:01 +0000 2021,1468436932761849861,Queensland smacks half the mutations out of omicron's mouth. https://t.co/0p5Zid25pl,"Melbourne, Australia"
951,Wed Dec 08 04:27:01 +0000 2021,1468436930085867523,"@HankMeyerNAPP @Bonjour_Pippy If he does respond it will start like this
“With all due respect”
And will go on to disrespect the ombudsman and her findings because we are in a GLOBAL pandemic","Melbourne, Victoria"
952,Wed Dec 08 04:27:00 +0000 2021,1468436929137938432,"RT @trishgreenhalgh: CDC updates its guidance on masks, adds a section on masks in kids. TL;DR: the evidence base on the benefits of commun…",Sydney
