Unnamed: 0,created_at,id,text,user_location
542,Wed Dec 08 04:26:24 +0000 2021,1468436777123807233,"@cryptocclub01 @DeepBrainChain COVID 19 has slowed many economies around the world but as a crypto business has it affected you negatively or positively?
@MDSHORI36288393
@NayonRo72673383
@Mzmulhaque1",Indonesia
1910,Wed Dec 08 04:28:11 +0000 2021,1468437225574526981,RT @baemyooji: aespa received '2021 Visionary Awards' for people who have played a pioneering role in the Korean entertainment industry thi…,"Kota Batam, Kepulauan Riau"
2018,Wed Dec 08 04:28:28 +0000 2021,1468437299008442368,"RT @FaheemYounus: Omicron does not spread through surfaces

End the hysteria of washing groceries and fearing every door knob

Just wash yo…","Bekasi, Indonesia"
2586,Wed Dec 08 04:29:10 +0000 2021,1468437474003206144,Hopefully im win..still believe @ElrondNetwork for long term asset https://t.co/Y34ftD8pcN,"Bogor Barat, Indonesia"
2743,Wed Dec 08 04:29:24 +0000 2021,1468437531515568131,"RT @michaelmina_lab: I can’t believe this isn’t an SNL spoof of the last two years of my life. 

Yes @jrpsaki we want tests literally deliv…",into an alternate reality
3040,Wed Dec 08 04:29:50 +0000 2021,1468437641846669315,"RT @ViniDiMambro: Middle of a pandemic &amp; @ChipotleTweets is mandating that sick employees come to work to contaminate your food.

No thanks…",Jakarta Capital Region
3064,Wed Dec 08 04:29:51 +0000 2021,1468437646582050816,RT @27Tantri: Cool! 👍😍,"99, Klender, Sorong, KarPel"
3794,Wed Dec 08 04:30:39 +0000 2021,1468437844913844224,"TREX Agency Talent
Cells
#Kitty #mico #Live ID : 104375886

Join TREX Agency
Better life, better future

#livestreaming #Livestream #cewek #indonesia #streamer #wfh #penghasilantambahan #infoloker #Streamer #lowongankerja #Cantik #cewekkhits #bisnisonline #bisnisdigital https://t.co/vmnjd2vVcN","Neo Soho, West Jakarta"
3993,Wed Dec 08 04:30:59 +0000 2021,1468437928779026435,RT @rick_pittman: Calling someone an anti-vaxxer shows a lack of respect for an individual's right to voluntary informed consent. Most peop…,"Bumi Agung, Indonesia"
4211,Wed Dec 08 04:31:07 +0000 2021,1468437965101699072,"RT @ViniDiMambro: Middle of a pandemic &amp; @ChipotleTweets is mandating that sick employees come to work to contaminate your food.

No thanks…","Surakarta, Jawa Tengah"
4351,Wed Dec 08 04:31:20 +0000 2021,1468438020382625792,"RT @Beabpark: @maria43110357 @maurice_gourlay @NotaliaMateo They’ve been working on mRNA use for over ten years, no success. 6 months into…",Indonesia
4563,Wed Dec 08 04:31:45 +0000 2021,1468438123914747909,"RT @mickgoldxxx: Quarantine Fuck 01 (2021) 

Riding a tall masked muscle daddy with a big dick during quarantine.

https://t.co/yyduulgeda…","DKI Jakarta, Indonesia"
4624,Wed Dec 08 04:31:50 +0000 2021,1468438144035000322,RT @michaelmina_lab: Wow. This tweet took off. And contains some of the most accurate responses wrt our pandemic response here in the US.…,into an alternate reality
4648,Wed Dec 08 04:31:47 +0000 2021,1468438130164264963,RT @bayuarisandee: Greysia Polii. She wanted to compete in World Championships this year so bad because this might be her last. I’m crying…,Indonesia
4711,Wed Dec 08 04:31:53 +0000 2021,1468438157490147328,"NOSPONSOR COME TO
COMMANDER BIN TNIPOLRI PASPAMPRESBRIMOB ALL
UNLIMITED.. MONEY ALL COUNTRY ALL UNLIMITED.. HERITAGE ALL COUNTRY
TRANSFER FROM BINHEADQUARTERS ALL UNLIMITED 12041987^12041987^12041987^12041987(12041987^12041987^12041987^12041987)MULTIPLY PERSECOND TO ALL ACCOUNT https://t.co/WF34rBpbGX","Depok, Indonesia"
4766,Wed Dec 08 04:32:00 +0000 2021,1468438184782491648,Suraaaaaaaammmm 😂😂😂😂😂😂 https://t.co/fBL1gCqPvX,Indonesia
4786,Wed Dec 08 04:31:59 +0000 2021,1468438182882643971,"RT @oni_blackstock: Give out rapid tests to every household?

Yessss! Of course, we should! 

That this appears to be some quixotic idea to…",into an alternate reality
4946,Wed Dec 08 04:32:15 +0000 2021,1468438248984883200,"RT @mkarolian: New Hampshire offered free at-home rapid tests to all residents, and ran out within a day. It does seem as through there is…",into an alternate reality
