Unnamed: 0,created_at,id,text,user_location
77,Wed Dec 08 04:25:45 +0000 2021,1468436611977207808,"RT @twinkyxstar: I miss travelling and going to SF9 concert overseas🥺, it’s the last time I saw SF9 in person because the FM in South Korea…", Fantasy world 🌌
414,Wed Dec 08 04:26:20 +0000 2021,1468436761705594886,"@aginnt Somebody decided Germany is special :
https://t.co/ZT5kEMT9SE",Am Brennpunkt der Probleme
422,Wed Dec 08 04:26:19 +0000 2021,1468436755678482435,RT @mkarolian: Jen Psaki somewhat mockingly asks reporter at the White House Daily Press Briefing if the US should be sending out rapid #CO…,"Nova Scotia, Canada"
623,Wed Dec 08 04:26:34 +0000 2021,1468436817175322636,@AntiVaxWatchOrg is one of America’s leading sources of covid disinformation and should be called out for its rank dishonesty wherever possible. https://t.co/k5Hpk4MVbC,"Alexandria, Va."
676,Wed Dec 08 04:26:38 +0000 2021,1468436835328266240,"@merdersgf tbh priorities, we've been waiting for that movie long before covid😩😂",Panama
677,Wed Dec 08 04:26:38 +0000 2021,1468436837664448517,"RT @KaizerChiefs: Update: Chiefs Will Not Face Arrows 

Following further consultations with the medical department and management regardin…","Burgersfort, Tlase Tubatse."
869,Wed Dec 08 04:26:52 +0000 2021,1468436892999946245,RT @newsmax: BREAKING NEWS: A federal judge issued a nationwide injunction that prevents the U.S. government from enforcing a COVID-19 vacc…,"Aurora, CO"
1094,Wed Dec 08 04:27:12 +0000 2021,1468436976470827008,"RT @CoinDesk: ""Play-to-earn game came at the right time"" in a global pandemic, @AxieInfinity CEO @trungfinity says. But, ""in the future the…",Cuba
1469,Wed Dec 08 04:27:44 +0000 2021,1468437110835326979,🇹🇲 TURKMENISTAN: Authorities tighten COVID-19 measures in Lebap and Mary regions - Update | https://t.co/LJf8OxFmpl,"Copenhagen, Denmark"
1566,Wed Dec 08 04:27:49 +0000 2021,1468437133140582402,"@thevivafrei @USMortality @ginacarano Somebody decided Germany is special:
https://t.co/ZT5kEMT9SE",Am Brennpunkt der Probleme
2248,Wed Dec 08 04:28:44 +0000 2021,1468437364183760897,RT @Public_Citizen: Why is there more money for the military-industrial complex – providing no additional protection for our national secur…,"Santa Fe, NM"
2513,Wed Dec 08 04:29:02 +0000 2021,1468437441589788673,Avoid being recognized in socially awkward settings. https://t.co/SMhk3C2llv,"Colombo, Sri Lanka"
2521,Wed Dec 08 04:29:04 +0000 2021,1468437446723440641,"RT @BCG: Since the beginning of the crisis, BCG has tracked consumer sentiment, spending, and behavior. A look at this data and consumers’…",Dehragopipur Kangra Himachal 
2535,Wed Dec 08 04:29:07 +0000 2021,1468437459381927938,RT @marmotihe: We need this new evidence brief says @DrMikeRyan - the moral &amp; practical imperatives for prioritizing equity in pandemic eff…,"Rio de Janeiro, Brasil"
2698,Wed Dec 08 04:29:14 +0000 2021,1468437491879497731,"@mkarolian In NS they are given out at parades, tavern doors, street parties, clinics, airports. Free. 
Among other things testing results help Public Health track where COVID is spreading,long before they would otherwise know.Not perfect,but much better than flying blind.","Nova Scotia, Canada"
3444,Wed Dec 08 04:30:13 +0000 2021,1468437739079151617,"Coronavirus cases in Sri Lanka is currently 569,171!

– Active : 11,555
– Cases Today : 0
– Deaths : 14,505
– Cases Yesterday : 748
– Recovered : 543,111
– Deaths Today : 0
– Total PCR Tests : 5,715,528

    ~ 🇱🇰  STATUS ID 834 ~
[#COVID19SL #COVID19LK] https://t.co/VoWhvkrgyw","Colombo, Sri Lanka"
3866,Wed Dec 08 04:30:43 +0000 2021,1468437861376663552,"RT @DavidAraripe: Countries all over the world: how could Brazil get so many people vaccinated?

Brazil: lol",Brasil
3873,Wed Dec 08 04:30:48 +0000 2021,1468437883522531333,RT @Reuters: EU agencies endorse mix-and-match of COVID-19 vaccines https://t.co/3EKmv2ucuy https://t.co/87Zk6CTA2v,Mundo | Argentina | Europa
4461,Wed Dec 08 04:31:36 +0000 2021,1468438084400394241,RT @zhusu: Nobody is talking about this bc the sugar / fast food / agribusiness cartel controls the mainstream media,"Belo Horizonte, Brasil"
4568,Wed Dec 08 04:31:44 +0000 2021,1468438117011099652,"RT @TorontoStar: Indigenous and racialized workers, especially women, lived with a higher rate of economic insecurity than white workers du…","Nova Scotia, Canada"
4765,Wed Dec 08 04:32:02 +0000 2021,1468438192483274752,@Adee_9 Damn! Is this the new pandemic?!,"Las Condes, Chile"
5259,Wed Dec 08 04:32:42 +0000 2021,1468438361954209798,RT @RagnarokRob: Probably through the southern border 🤔,El Salvador
5451,Wed Dec 08 04:32:49 +0000 2021,1468438391633027078,"RT @YoloCountyCA: Press Release: Yolo County Funds Healthy Yolo Together COVID-19 Testing in 2022

Yolo County Board of Supervisors approve…","Sacramento, California"
5591,Wed Dec 08 04:33:04 +0000 2021,1468438454468071424,"RT @tedcruz: Absolutely appalling.

The government should not be circumventing parents like this. 

Parents need to know (and consent) to t…","Poteet, TX"
5926,Wed Dec 08 04:33:31 +0000 2021,1468438567588438025,"RT @lucysky: If your kid is 5-11 and had their second Covid shot, what were the next day side effects?","Alexandria, Va."
5935,Wed Dec 08 04:33:33 +0000 2021,1468438577000239106,An ode to my work-from-home dining table https://t.co/hokujkrU5U https://t.co/byCRHaYKZk,"Colchester, Nova Scotia"
